Name,Sector,Instrument,Assets
Max Financial Services Ltd.,Financial,Equity,4.46%
AU Small Finance Bank Ltd.,Financial,Equity,3.70%
Indian Bank,Financial,Equity,3.54%
The Federal Bank Ltd.,Financial,Equity,3.38%
Balkrishna Industries Ltd.,Automobile,Equity,3.37%
Fortis Healthcare Ltd.,Healthcare,Equity,3.19%
Coforge Ltd.,Technology,Equity,3.11%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,2.96%
Glenmark Pharmaceuticals Ltd.,Healthcare,Equity,2.67%
Ipca Laboratories Ltd.,Healthcare,Equity,2.52%
Vishal Mega Mart Ltd.,Services,Equity,2.44%
Apollo Tyres Ltd.,Automobile,Equity,2.35%
Tata Communications Ltd.,Communication,Equity,2.34%
Persistent Systems Ltd.,Technology,Equity,2.21%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.19%
Cummins India Ltd.,Capital Goods,Equity,2.16%
Marico Ltd.,Consumer Staples,Equity,2.13%
Jindal Steel Ltd.,Metals & Mining,Equity,1.82%
Aurobindo Pharma Ltd.,Healthcare,Equity,1.70%
Union Bank of India,Financial,Equity,1.61%
Delhivery Ltd.,Services,Equity,1.58%
Bosch Ltd.,Automobile,Equity,1.53%
PB Fintech Ltd.,Services,Equity,1.42%
The Indian Hotels Company Ltd.,Services,Equity,1.40%
Dabur India Ltd.,Consumer Staples,Equity,1.32%
Mphasis Ltd.,Technology,Equity,1.29%
Eternal Ltd.,Services,Equity,1.28%
Gland Pharma Ltd.,Healthcare,Equity,1.26%
AIA Engineering Ltd.,Metals & Mining,Equity,1.21%
Indraprastha Gas Ltd.,Energy,Equity,1.21%
Hexaware Technologies Ltd.,Technology,Equity,1.14%
Star Health and Allied Insurance Company Ltd.,Insurance,Equity,1.14%
Karur Vysya Bank Ltd.,Financial,Equity,1.08%
Coromandel International Ltd.,Chemicals,Equity,1.02%
Redington Ltd.,Services,Equity,1.01%
ACC Ltd.,Construction,Equity,1.00%
Escorts Kubota Ltd.,Automobile,Equity,0.99%
Nippon Life India Asset Management Ltd.,Financial,Equity,0.97%
Bharat Forge Ltd.,Automobile,Equity,0.95%
Alkem Laboratories Ltd.,Healthcare,Equity,0.95%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.91%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.89%
KEC International Ltd.,Capital Goods,Equity,0.83%
Indusind Bank Ltd.,Financial,Equity,0.82%
Sundram Fasteners Ltd.,Capital Goods,Equity,0.77%
Timken India Ltd.,Capital Goods,Equity,0.76%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.73%
SKF India (Industrial) Ltd.,Capital Goods,Equity,0.71%
Supreme Industries Ltd.,Chemicals,Equity,0.71%
City Union Bank Ltd.,Financial,Equity,0.67%
United Spirits Ltd.,Consumer Staples,Equity,0.64%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.58%
SKF India Ltd.,Capital Goods,Equity,0.56%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.48%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.48%
Emami Ltd.,Consumer Staples,Equity,0.44%
Greenlam Industries Ltd.,Consumer Staples,Equity,0.44%
Vesuvius India Ltd.,Construction,Equity,0.41%
Ceat Ltd.,Automobile,Equity,0.41%
Symphony Ltd.,Consumer Discretionary,Equity,0.39%
Vardhman Textiles Ltd.,Textiles,Equity,0.35%
KNR Constructions Ltd.,Construction,Equity,0.33%
Aarti Industries Ltd.,Chemicals,Equity,0.33%
Oracle Financial Services Software Ltd.,Technology,Equity,0.32%
Arvind Ltd.,Textiles,Equity,0.29%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.29%
Bharti Hexacom Ltd.,Communication,Equity,0.28%
Five-Star Business Finance Ltd.,Financial,Equity,0.28%
Navneet Education Ltd.,Consumer Staples,Equity,0.28%
Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,0.20%
LG Electronics India Ltd.,Consumer Discretionary,Equity,0.19%
Greenply Industries Ltd.,Consumer Staples,Equity,0.19%
Dhanuka Agritech Ltd.,Chemicals,Equity,0.16%
Greenpanel Industries Ltd.,Consumer Staples,Equity,0.16%
Jagran Prakashan Ltd.,Consumer Staples,Equity,0.06%
